taxa1	taxa2	rhoCut
Bacteria;Bacteria;Acidobacteriota;Vicinamibacteria	Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Archaea;Archaea;Thermoplasmatota;Thermoplasmata	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Acidobacteriota;FFCH5909	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Armatimonadota;Chthonomonadetes	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Chloroflexi;TK10	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Deinococcota;Deinococci	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Firmicutes;Negativicutes	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Nitrospirota;Nitrospiria	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Patescibacteria;Microgenomatia	-1
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Planctomycetota;Pla3 lineage	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Chloroflexi;AD3	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Dependentiae;Babeliae	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Firmicutes;Desulfitobacteriia	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Latescibacterota;Latescibacteria	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Myxococcota;Myxococcia	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Nitrospirota;4-29-1	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Planctomycetota;OM190	-1
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Bacteroidota;Kryptonia	-1
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Chloroflexi;AD3	-1
