taxa1	taxa2
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Nitrospirota;Nitrospiria
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Planctomycetota;Pla3 lineage
Bacteria;Bacteria;Acidobacteriota;Vicinamibacteria	Bacteria;Bacteria;Bacteroidota;Kryptonia
Bacteria;Bacteria;Acidobacteriota;Vicinamibacteria	Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Archaea;Archaea;Thermoplasmatota;Thermoplasmata
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Acidobacteriota;FFCH5909
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Armatimonadota;Chthonomonadetes
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Chloroflexi;SHA-26
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Chloroflexi;TK10
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Deinococcota;Deinococci
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Firmicutes;Negativicutes
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Nitrospirota;Nitrospiria
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Patescibacteria;Microgenomatia
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	Bacteria;Bacteria;Planctomycetota;Pla3 lineage
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Chloroflexi;AD3
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Dependentiae;Babeliae
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Firmicutes;Desulfitobacteriia
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Latescibacterota;Latescibacteria
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Myxococcota;Myxococcia
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Nitrospirota;4-29-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Planctomycetota;OM190
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Bacteroidota;Kryptonia
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Chloroflexi;AD3
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Latescibacterota;Latescibacteria
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Nitrospirota;4-29-1
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Patescibacteria;Berkelbacteria
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Chloroflexi;AD3
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Dependentiae;Babeliae
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Firmicutes;Desulfitobacteriia
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Latescibacterota;Latescibacteria
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Myxococcota;Myxococcia
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Nitrospirota;4-29-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Planctomycetota;OM190
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia	Archaea;Archaea;Halobacterota;Methanosarcinia
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia	Bacteria;Bacteria;Bacteroidota;Kryptonia
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia	Bacteria;Bacteria;Elusimicrobiota;Lineage IIa
Bacteria;Bacteria;Armatimonadota;Armatimonadia	Bacteria;Bacteria;Actinobacteriota;Coriobacteriia
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Archaea;Archaea;Crenarchaeota;Nitrososphaeria
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Acidobacteriota;Subgroup 25
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Actinobacteriota;Actinobacteria
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Actinobacteriota;MB-A2-108
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Actinobacteriota;Rubrobacteria
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Cyanobacteria;Sericytochromatia
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Firmicutes;Bacilli
