ID	drug_name	GDSC	drug_id	protein	x_id	target	beta	fdr	nc_fdr	nc_beta	ppi	r2	tissue	p_corr_protein	p_pval_protein	corr_diff	counts	skew	cancer_gene
1371	PLX-4720	GDSC1	"1371;PLX-4720;GDSC1"	RL12_HUMAN	RPL12	BRAF	-0,173199872	0,435019755	4,92E-06	-0,510016931	2	0,499462315	Skin	-0,350573092	0,009350961	0,240187422	54	-1,228927954	FALSE
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	REXO4_HUMAN	REXO4	"BIRC2;BIRC3;XIAP"	-0,397955013	0,032423855	0,024327814	-0,332841926	-	0,579682112	Central Nervous System	-0,496510184	0,001119392	0,377612376	40	-1,084352179	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	RBM39_HUMAN	RBM39	BCL2	-0,2389245	0,615799905	0,000117863	-0,678861037	3	0,750148631	Lung	-0,383949481	9,52E-08	0,295639138	181	-1,562840054	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	PUS7_HUMAN	PUS7	BCL2	-0,262026374	0,285674655	0,000929687	-0,338969494	3	0,750148631	Bone	-0,354891437	0,033680103	0,301061363	36	-1,562840054	FALSE
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	PTH2_HUMAN	PTRH2	"BIRC2;BIRC3;XIAP"	-0,301428076	0,070754093	0,016297254	-0,274477187	-	0,579682112	Stomach	-0,403150379	0,050771477	0,282889844	24	-1,084352179	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	PTN11_HUMAN	PTPN11	BRAF	-0,302891537	0,248669651	0,000307851	-0,398976772	2	0,495096161	Ovary	-0,538472569	0,002142711	0,460583483	30	-1,809260826	TRUE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	PRP31_HUMAN	PRPF31	BCL2	-0,422719315	0,348259262	4,87E-05	-0,76107136	3	0,750148631	Lung	-0,353272062	1,07E-06	0,339912753	181	-1,562840054	FALSE
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	PRP19_HUMAN	PRPF19	"BIRC2;BIRC3;XIAP"	-0,880567631	0,006159549	6,55E-05	-0,862113883	-	0,579682112	Central Nervous System	-0,501435177	0,000242321	0,199996307	49	-1,084352179	FALSE
412	Venotoclax	GDSC1	"412;Venotoclax;GDSC1"	PRKDC_HUMAN	PRKDC	BCL2	-0,303062629	0,078716544	0,001848335	-0,32378334	2	0,668541075	Haematopoietic and Lymphoid	-0,363498308	8,73E-06	0,154168064	142	-3,13953223	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	PRKDC_HUMAN	PRKDC	BCL2	-0,417560927	0,081215032	0,01360318	-0,322983648	2	0,750148631	Haematopoietic and Lymphoid	-0,380783254	8,67E-07	0,170053094	157	-1,562840054	FALSE
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	GLU2B_HUMAN	PRKCSH	"BIRC2;BIRC3;XIAP"	-0,684836736	0,000165708	3,73E-08	-0,721808167	-	0,579682112	Stomach	-0,485792739	0,016099685	0,452099694	24	-1,084352179	FALSE
